"item","element_type","width_m","height_m","area_m2","glass_supply_model","wind_load","thermal_performance","price_material_gbp","price_glass_unit_gbp","labour_work_gbp","coating_type","coating_total_gbp","margin_gbp","final_price_gbp","fabrication_time_h"
"13","Facade","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","477","42","75","Qualicoat Class 2","672","404,94","1670,94","5"
"14","Facade","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","477","0","37","Qualicoat Class 2","672","205,11","1391,11","5"
"15","Facade","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","37","75","Qualicoat Class 2","672","403,24","1664,24","5"
"16","Facade","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","0","37","Qualicoat Class 2","672","205,11","1391,11","5"
"17","Facade","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","32","75","Qualicoat Class 2","672","401,54","1657,54","5"
"18","Facade","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","0","37","Qualicoat Class 2","672","205,11","1391,11","5"
"19","Facade","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","42","75","Qualicoat Class 2","672","438,94","1804,94","5"
"20","Facade","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","0","37","Qualicoat Class 2","672","248,11","1534,11","5"
"21","Facade","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","37","75","Qualicoat Class 2","672","437,24","1798,24","5"
"22","Facade","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","0","37","Qualicoat Class 2","672","248,11","1534,11","5"
"23","Facade","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","32","75","Qualicoat Class 2","672","435,54","1791,54","5"
"24","Facade","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","0","37","Qualicoat Class 2","672","248,11","1534,11","5"
"13","Facade","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","477","42","75","Qualicoat Seaside","1072","540,94","2206,94","5"
"14","Facade","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","477","0","37","Qualicoat Seaside","1072","205,11","1791,11","5"
"15","Facade","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","37","75","Qualicoat Seaside","1072","539,24","2200,24","5"
"16","Facade","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","0","37","Qualicoat Seaside","1072","205,11","1791,11","5"
"17","Facade","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","32","75","Qualicoat Seaside","1072","537,54","2193,54","5"
"18","Facade","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","0","37","Qualicoat Seaside","1072","205,11","1791,11","5"
"19","Facade","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","42","75","Qualicoat Seaside","1072","574,94","2340,94","5"
"20","Facade","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","0","37","Qualicoat Seaside","1072","248,11","1934,11","5"
"21","Facade","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","37","75","Qualicoat Seaside","1072","573,24","2334,24","5"
